001341987320000	9086646	1	10/01/2020
005109115350000	7203116	1	15/11/2019
001364634850000	2950911	1	07/05/2011
001430506640000	8909474	1	16/03/2019
000000570761429	5683923	1	08/08/2016
005107451960000	9099654	1	17/11/2019
005106578290000	9091252	1	11/01/2020
000000135703601	6722651	1	22/07/2019
000000418767950	9079163	1	06/01/2020
000000619329808	6145563	1	11/02/2016
001419125880000	8487523	1	08/04/2019
005113814580000	7414350	1	09/01/2020
001624060580000	4736248	1	08/02/2014
005096358340000	9071173	1	21/07/2019
000613505810000	9061759	1	11/09/2019
001369279490000	3119496	1	20/09/2019
000000048786180	9042509	1	10/09/2018
005078476990000	8979665	1	21/11/2019
001717308320000	8932984	1	27/04/2019
002608095000000	9089416	1	09/01/2020
001720228890000	7935999	1	10/09/2018
001913090630000	9040932	1	16/05/2015
001786087110000	6667329	1	07/06/2016
005090172720000	9009841	1	28/06/2019
001317849740000	9051882	1	05/09/2019
005051576130000	8985677	1	20/07/2019
002484329410000	9037230	1	17/12/2019
000000385561196	8020483	1	12/03/2020
005069010810000	9047778	1	16/05/2019
002380762450000	8567730	1	15/04/2019
005051518540000	8979717	1	16/04/2019
001409376590000	8182406	1	01/02/2019
000000496168964	8984456	1	20/01/2020
000000119050516	8934495	1	16/03/2020
001429597440000	9103297	1	08/11/2019
005033646460000	9089863	1	13/01/2020
005043323420000	8919612	1	09/07/2017
000000300184629	8475271	1	05/09/2019
002639921430000	8687106	1	06/08/2019
005101402440000	9121265	1	06/10/2019
000000153586359	7806601	1	06/03/2020
005040829630000	9048380	1	11/10/2019
001430700780000	9106307	1	18/01/2020
005069279490000	9022649	1	16/12/2019
005096883020000	9109895	1	27/11/2019
001371972490000	9087372	1	23/12/2019
005061352510000	7737725	1	16/05/2018
005047590300000	9005578	1	11/11/2019
001722902060000	8994121	1	01/12/2019
005061371890000	9044323	1	25/12/2019
000000781638325	9120829	1	16/01/2020
005083859200000	4892125	1	22/06/2019
005100850740000	8861444	1	08/10/2019
002601429140000	9079576	1	15/01/2020
002534434450000	8716715	1	17/06/2019
000000439064700	4450993	1	02/07/2014
001710410980000	9009426	1	10/10/2019
001432188700000	8610412	1	16/05/2019
000000494870504	9080852	1	03/01/2020
001025420240000	9089141	1	05/03/2017
001421037120000	9089092	1	13/01/2020
005003898860000	8888480	1	25/06/2019
005102601060000	9069895	1	06/01/2020
000894202290000	9082986	1	09/11/2019
005030527400000	9090500	1	16/12/2018
001427840310000	8152323	1	03/12/2018
005049453620000	8978554	1	06/08/2019
000000764613337	9038426	1	10/11/2015
000000726042377	9038426	1	10/07/2009
005037958940000	9108645	1	16/01/2020
001251233650000	8720443	1	06/08/2019
005049916480000	9099543	1	15/01/2020
000000802569590	9102765	1	20/09/2019
005084803050000	8588211	1	09/05/2019
001718146650000	8950034	1	20/08/2019
001397499030000	8473138	1	27/05/2019
005083941520000	8661711	1	06/06/2019
001570195590000	9011546	1	09/12/2017
000000448660902	7512168	1	23/01/2018
001072823940000	6130565	1	15/11/2015
001409418000000	6816352	1	16/10/2019
001551017230000	9109758	1	20/11/2019
000000263750804	9085335	1	03/12/2008
005012468160000	6301626	1	06/04/2016
001367142810000	9034622	1	27/10/2019
002374210890000	9065495	1	15/09/2019
005003565350000	9072694	1	16/09/2019
001804719860000	6031973	1	06/01/2016
005012254500000	8344032	1	07/04/2019
005093570010000	9113460	1	11/04/2019
